x,y,end_x,end_y,playername,goal_id,pass_id,scorer,time,match_date,match_opponent
34.3,18.1,33.2,23.9,Nicolás Hernán Otamendi,5,7,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
33.2,23.9,32.8,56.9,Nicolás Hernán Otamendi,5,8,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
32.8,56.9,32.3,61.8,Cristian Gabriel Romero,5,9,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
32.3,61.8,45.6,76.1,Cristian Gabriel Romero,5,10,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
45.6,76.1,50.1,73.5,Enzo Fernandez,5,11,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
50.1,73.5,110,60.3,Enzo Fernandez,5,12,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
42.8,43.4,43.2,46.2,Leandro Daniel Paredes,5,13,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
43.2,46.2,63.1,70.8,Leandro Daniel Paredes,5,14,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
63.1,70.8,64.2,74,Gonzalo Ariel Montiel,5,15,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
64.2,74,94.2,56.4,Gonzalo Ariel Montiel,5,16,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
94.2,56.4,91.2,58.8,Lautaro Javier Martínez,5,17,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
91.2,58.8,91.2,58.8,Lionel Andrés Messi Cuccittini,5,18,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
91.2,58.8,95.4,49.4,Lionel Andrés Messi Cuccittini,5,19,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
95.4,49.4,95.4,49.4,Enzo Fernandez,5,20,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
95.4,49.4,109.3,56.9,Enzo Fernandez,5,21,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
109.3,56.9,114.4,52,Lautaro Javier Martínez,5,22,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
114.4,52,118.7,44.1,Lautaro Javier Martínez,5,23,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
116.6,43,120,40.9,Lionel Andrés Messi Cuccittini,5,24,Lionel Andrés Messi Cuccittini,00:02:58.079,2022-12-18,France
49.5,38.9,49.3,39.9,Enzo Fernandez,6,1,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
49.3,39.9,44.3,50.4,Enzo Fernandez,6,2,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
44.3,50.4,30,38.9,Rodrigo Javier De Paul,6,3,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
30,38.9,29.6,38.9,Cristian Gabriel Romero,6,4,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
29.6,38.9,30.6,20,Cristian Gabriel Romero,6,5,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
30.6,20,30.6,23.5,Nicolás Hernán Otamendi,6,6,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
30.6,23.5,24.9,46.8,Nicolás Hernán Otamendi,6,7,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
24.9,46.8,26.6,45.9,Cristian Gabriel Romero,6,8,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
26.6,45.9,33.6,19.6,Cristian Gabriel Romero,6,9,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
33.6,19.6,42.8,12.1,Nicolás Hernán Otamendi,6,10,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
42.8,12.1,61.7,1.6,Nicolás Hernán Otamendi,6,11,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
61.7,1.6,62.6,2,Marcos Javier Acuña,6,12,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
62.6,2,42,6.4,Marcos Javier Acuña,6,13,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
42,6.4,40.8,6.6,Nicolás Hernán Otamendi,6,14,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
40.8,6.6,35.9,14.8,Nicolás Hernán Otamendi,6,15,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
35.9,14.8,33.5,19.2,Enzo Fernandez,6,16,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
33.5,19.2,27,50.5,Enzo Fernandez,6,17,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
27,50.5,54,58.5,Cristian Gabriel Romero,6,18,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
54,58.5,74.7,53,Cristian Gabriel Romero,6,19,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
74.7,53,68.7,54.3,Lionel Andrés Messi Cuccittini,6,20,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
68.7,54.3,65.7,64.3,Lionel Andrés Messi Cuccittini,6,21,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
65.7,64.3,67.2,69,Rodrigo Javier De Paul,6,22,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
67.2,69,48.6,62.6,Rodrigo Javier De Paul,6,23,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
48.6,62.6,56.1,63.7,Cristian Gabriel Romero,6,24,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
56.1,63.7,75.1,67.7,Cristian Gabriel Romero,6,25,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
75.1,67.7,80.3,68.6,Nahuel Molina Lucero,6,26,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
80.3,68.6,92.7,73.5,Nahuel Molina Lucero,6,27,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
92.7,73.5,102.1,72,Ángel Fabián Di María Hernández,6,28,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
102.1,72,110.4,71.6,Ángel Fabián Di María Hernández,6,29,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
110.4,71.6,114.3,69.9,Nahuel Molina Lucero,6,30,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
114.3,69.9,106,46.7,Nahuel Molina Lucero,6,31,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
106,46.7,119.9,35.8,Alexis Mac Allister,6,32,Alexis Mac Allister,00:00:53.623,2022-11-30,Poland
70.9,4.6,64,14.5,Nicolás Alejandro Tagliafico,7,1,Julián Álvarez,00:21:57.855,2022-11-30,Poland
64,14.5,62.9,17.3,Leandro Daniel Paredes,7,2,Julián Álvarez,00:21:57.855,2022-11-30,Poland
62.9,17.3,53.5,40.1,Leandro Daniel Paredes,7,3,Julián Álvarez,00:21:57.855,2022-11-30,Poland
53.5,40.1,54.2,42.7,Cristian Gabriel Romero,7,4,Julián Álvarez,00:21:57.855,2022-11-30,Poland
54.2,42.7,60.2,47.6,Cristian Gabriel Romero,7,5,Julián Álvarez,00:21:57.855,2022-11-30,Poland
60.2,47.6,62.3,53.4,Enzo Fernandez,7,6,Julián Álvarez,00:21:57.855,2022-11-30,Poland
62.3,53.4,68.5,64.5,Enzo Fernandez,7,7,Julián Álvarez,00:21:57.855,2022-11-30,Poland
68.5,64.5,70.9,69.2,Rodrigo Javier De Paul,7,8,Julián Álvarez,00:21:57.855,2022-11-30,Poland
70.9,69.2,75.1,63.5,Rodrigo Javier De Paul,7,9,Julián Álvarez,00:21:57.855,2022-11-30,Poland
74.9,63.9,71.5,68,Lionel Andrés Messi Cuccittini,7,10,Julián Álvarez,00:21:57.855,2022-11-30,Poland
